날짜,상품명,구매전환수,전환당단가,총전환비용,총비용,CPC,총구매전환매출,CTR(%)
2026-03-09,프리미엄 스킨케어 세트,15,12500,187500,210000,850,980000,2.3
2026-03-09,수분 크림 50ml,8,9800,78400,95000,720,420000,1.8
2026-03-09,선크림 SPF50,22,7500,165000,180000,650,1100000,3.1
2026-03-10,프리미엄 스킨케어 세트,18,11800,212400,230000,880,1150000,2.5
2026-03-10,수분 크림 50ml,10,9500,95000,108000,740,530000,2.0
2026-03-10,선크림 SPF50,25,7200,180000,195000,620,1300000,3.4
2026-03-11,프리미엄 스킨케어 세트,21,12200,256200,275000,910,1480000,2.8
2026-03-11,수분 크림 50ml,13,9200,119600,132000,710,680000,2.2
2026-03-11,선크림 SPF50,30,7000,210000,225000,600,1650000,3.8
2026-03-12,프리미엄 스킨케어 세트,16,12000,192000,215000,860,1020000,2.1
2026-03-12,수분 크림 50ml,9,9600,86400,100000,730,475000,1.9
2026-03-12,선크림 SPF50,20,7300,146000,162000,640,1050000,2.9
2026-03-13,프리미엄 스킨케어 세트,12,11500,138000,158000,820,780000,1.7
2026-03-13,수분 크림 50ml,6,9900,59400,72000,760,315000,1.5
2026-03-13,선크림 SPF50,17,7600,129200,145000,670,880000,2.5
2026-03-14,프리미엄 스킨케어 세트,25,12800,320000,345000,940,1850000,3.2
2026-03-14,수분 크림 50ml,15,9300,139500,155000,700,790000,2.6
2026-03-14,선크림 SPF50,35,6900,241500,260000,580,2050000,4.1
2026-03-15,프리미엄 스킨케어 세트,28,13000,364000,390000,960,2100000,3.5
2026-03-15,수분 크림 50ml,17,9100,154700,172000,690,900000,2.8
2026-03-15,선크림 SPF50,38,6800,258400,278000,560,2280000,4.4
